Date,Open,High,Low,Close,Volume
2021-04-14,49.5,49.5,49.5,49.5,500.0
2021-04-15,0.0,49.5,49.5,49.5,36000.0
2021-04-19,48.5,49.12,48.5,49.11,3000.0
2021-04-20,49.0,49.0,48.0,48.24,8000.0
2021-04-21,48.5,50.0,48.5,49.58,6000.0
2021-04-22,50.9,50.9,50.9,50.9,500.0
2021-04-27,48.17,48.17,48.15,48.15,7000.0
2021-04-28,47.78,49.0,47.05,48.5,9000.0
2021-05-05,48.0,48.0,47.99,47.99,3000.0
2021-05-19,48.1,48.1,48.0,48.0,10500.0
2021-05-20,48.0,48.0,48.0,48.0,3000.0
2021-05-21,46.51,51.5,46.51,48.25,31000.0
2021-05-24,50.0,51.86,49.7,50.04,37500.0
2021-05-25,51.49,51.49,50.0,50.0,2500.0
2021-05-26,50.01,50.1,50.0,50.1,10500.0
2021-05-27,50.2,51.0,50.1,51.0,7500.0
2021-05-31,52.5,54.82,52.5,54.82,93500.0
2021-06-01,53.0,58.7,53.0,56.71,56500.0
2021-06-02,56.45,56.9,55.0,55.14,13500.0
2021-06-03,55.0,56.45,55.0,55.17,30500.0
2021-06-04,56.0,56.0,56.0,56.0,1000.0
2021-06-08,55.5,55.5,55.5,55.5,500.0
2021-06-09,55.0,55.75,54.75,54.75,8500.0
2021-06-10,54.0,55.24,54.0,55.1,6500.0
2021-06-11,54.99,54.99,53.6,54.99,500.0
2021-06-14,54.1,54.1,54.0,54.0,6500.0
2021-06-15,53.0,53.25,52.61,53.25,21500.0
2021-06-16,53.1,53.1,53.0,53.0,7000.0
2021-06-17,52.5,52.5,52.5,52.5,1000.0
2021-06-18,53.0,53.0,53.0,53.0,1000.0
2021-06-21,53.0,54.0,53.0,53.72,10000.0
2021-06-23,53.5,53.5,53.5,53.5,500.0
2021-06-24,53.01,53.01,53.0,53.0,2500.0
2021-06-25,53.0,53.0,53.0,53.0,2000.0
2021-06-28,52.15,52.15,52.0,52.0,198000.0
2021-06-29,52.75,53.0,52.75,53.0,12000.0
2021-06-30,52.02,52.02,52.02,52.02,500.0
2021-07-01,51.0,52.5,51.0,52.5,3500.0
2021-07-05,51.01,56.43,50.0,54.29,70500.0
2021-07-06,54.45,56.48,54.45,55.0,30000.0
2021-07-07,55.0,55.0,54.95,55.0,7000.0
2021-07-08,55.0,56.25,55.0,56.0,3000.0
2021-07-09,56.4,59.1,56.4,58.61,80000.0
2021-07-12,58.6,61.99,58.5,61.03,114500.0
2021-07-13,62.0,62.0,60.0,61.0,16000.0
2021-07-14,58.46,60.75,58.45,60.01,60500.0
2021-07-15,60.01,62.95,60.0,62.74,90000.0
2021-07-16,63.55,65.0,62.5,63.7,229000.0
2021-07-19,65.5,65.5,63.1,63.61,25500.0
2021-07-23,63.0,63.4,61.5,61.55,11000.0
2021-07-26,61.5,62.25,61.0,62.25,8500.0
2021-07-27,61.09,61.5,59.98,59.99,11000.0
2021-07-28,61.8,61.8,57.0,57.92,16500.0
2021-07-29,56.1,56.1,53.58,53.72,35000.0
2021-07-30,53.0,53.0,52.0,52.25,2500.0
2021-08-02,52.1,54.25,52.1,52.6,9500.0
2021-08-03,54.25,54.5,53.0,53.99,7500.0
2021-08-04,53.99,53.99,52.5,53.0,11000.0
2021-08-05,54.5,55.0,54.0,55.0,3500.0
2021-08-06,54.11,56.9,54.11,56.9,15000.0
2021-08-09,56.9,56.9,55.0,55.0,2000.0
2021-08-10,53.6,55.95,53.6,55.95,1500.0
2021-08-11,54.01,54.01,54.01,54.01,500.0
2021-08-12,56.2,56.2,53.0,53.19,19500.0
2021-08-13,52.5,52.5,52.5,52.5,500.0
2021-08-16,52.01,52.5,52.01,52.5,2500.0
2021-08-17,52.02,53.85,52.02,52.36,11500.0
2021-08-20,52.35,53.95,52.35,53.27,8500.0
2021-08-24,53.27,54.89,53.27,54.8,4500.0
2021-08-25,55.0,56.0,54.9,55.09,19000.0
2021-08-26,56.1,56.1,55.0,55.49,4500.0
2021-08-27,54.5,54.9,54.5,55.49,1000.0
2021-08-31,54.0,54.0,53.26,53.34,11500.0
2021-09-01,53.1,53.2,53.05,53.06,7000.0
2021-09-02,52.0,53.0,52.0,52.9,9500.0
2021-09-03,51.91,54.49,51.91,54.49,1500.0
2021-09-14,51.0,51.99,51.0,51.99,10500.0
2021-09-15,52.85,55.0,51.51,51.51,11500.0
2021-09-16,51.85,51.85,51.0,51.09,6000.0
2021-09-17,51.0,51.0,51.0,51.0,500.0
2021-09-20,50.1,50.1,49.0,49.62,18000.0
2021-09-21,48.81,48.81,48.5,48.64,8500.0
2021-09-22,49.0,49.0,48.0,48.0,7000.0
2021-09-23,48.93,48.94,48.93,48.94,1500.0
2021-09-27,48.94,48.94,48.94,48.94,500.0
2021-09-28,48.9,48.9,48.89,48.9,2500.0
2021-09-29,48.9,52.45,45.24,45.34,60000.0
2021-09-30,45.27,46.5,45.27,46.0,1500.0
2021-10-01,46.0,46.99,45.96,45.96,9000.0
2021-10-04,46.35,46.35,45.55,45.6,5500.0
2021-10-05,47.98,48.5,46.3,47.23,13000.0
2021-10-06,47.1,47.5,46.51,46.69,6000.0
2021-10-07,46.7,46.7,46.0,46.0,5000.0
2021-10-08,46.0,46.0,45.26,45.5,2500.0
2021-10-11,44.5,44.5,44.5,44.5,1000.0
2021-10-13,44.0,44.0,44.0,44.0,1000.0
2021-10-14,46.49,47.3,46.49,47.04,8500.0
2021-10-18,46.1,46.1,46.0,46.0,3500.0
2021-10-20,47.0,48.0,46.0,46.02,8000.0
2021-10-21,45.5,45.5,45.01,45.33,4500.0
2021-10-25,45.0,45.0,45.0,45.0,2500.0
2021-10-26,43.1,45.5,43.1,45.5,3000.0
2021-10-28,46.35,46.35,46.35,46.35,500.0
2021-10-29,0.0,0.0,0.0,46.35,0.0
2021-11-01,47.0,48.99,47.0,48.99,1500.0
2021-11-03,46.51,47.5,46.51,47.25,18500.0
2021-11-04,47.25,48.0,47.01,48.0,6500.0
2021-11-05,48.89,49.5,48.0,49.25,7500.0
2021-11-08,49.4,50.8,49.4,50.0,18500.0
2021-11-10,48.26,48.51,48.0,48.19,5000.0
2021-11-11,48.0,48.0,48.0,48.0,1000.0
2021-11-12,47.0,47.0,46.5,47.0,5500.0
2021-11-15,47.0,47.0,47.0,47.0,1000.0
2021-11-16,47.99,47.99,47.99,47.99,500.0
2021-11-17,47.95,48.0,47.25,47.74,153500.0
2021-11-18,47.5,47.5,47.2,47.2,3000.0
2021-11-19,46.86,46.86,46.86,46.86,1000.0
2021-11-23,46.0,46.5,43.35,43.65,82000.0
2021-11-24,44.75,44.99,42.3,44.0,126000.0
2021-11-25,44.0,44.0,44.0,44.0,2000.0
2021-11-29,44.0,44.0,44.0,44.0,500.0
2021-11-30,43.99,44.0,42.5,42.76,5500.0
2021-12-01,43.09,43.99,43.09,43.25,2500.0
2021-12-02,42.25,42.25,42.01,42.25,3500.0
2021-12-03,40.2,41.99,40.0,40.73,7000.0
2021-12-06,39.01,40.0,39.01,40.0,3000.0
2021-12-07,40.0,41.99,40.0,41.99,4500.0
2021-12-09,40.54,41.9,40.0,40.16,8000.0
2021-12-10,40.99,41.0,40.2,41.0,3500.0
2021-12-13,0.0,41.0,41.0,41.0,500.0
2021-12-14,41.0,41.0,41.0,41.0,1500.0
2021-12-15,42.0,42.2,42.0,42.1,1500.0
2021-12-16,40.51,40.51,40.0,40.0,4000.0
2021-12-17,40.0,41.0,40.0,41.0,11500.0
2021-12-20,41.0,43.95,41.0,43.95,10500.0
2021-12-21,44.44,47.24,42.0,45.72,35000.0
2021-12-22,45.51,48.95,45.51,48.0,25000.0
2021-12-23,48.9,48.9,47.4,47.62,6500.0
2021-12-24,47.0,48.9,46.75,47.36,15500.0
2021-12-27,49.7,49.7,46.25,46.25,9000.0
2021-12-28,46.8,46.8,45.65,45.65,1000.0
2021-12-29,46.5,47.0,46.5,46.99,6500.0
2021-12-30,44.52,44.52,43.6,44.1,21500.0
2021-12-31,43.25,44.0,43.0,43.7,3500.0
2022-01-03,44.24,44.5,44.0,44.08,14500.0
2022-01-04,44.0,44.1,44.0,44.02,5500.0
2022-01-06,43.65,43.75,43.65,43.75,1000.0
2022-01-07,42.5,42.5,42.5,42.5,1000.0
2022-01-10,42.55,42.55,42.51,42.51,1000.0
2022-01-11,44.69,45.69,44.69,45.69,41000.0
2022-01-12,46.1,46.1,45.6,45.75,6500.0
2022-01-13,47.0,47.0,45.75,45.75,13500.0
2022-01-14,47.4,47.4,46.69,46.69,4000.0
2022-01-17,46.55,46.55,44.5,45.0,7500.0
2022-01-18,45.0,45.0,44.0,44.08,7000.0
2022-01-19,45.0,45.0,42.3,42.69,15000.0
2022-01-20,37.2,39.0,36.2,39.0,22000.0
2022-01-21,38.0,38.0,38.0,38.0,5000.0
2022-01-24,39.0,39.0,38.5,38.5,1000.0
2022-01-25,39.1,39.1,39.0,39.0,6000.0
2022-01-26,38.5,38.5,38.0,38.0,8000.0
2022-01-27,37.5,38.5,37.5,37.59,13000.0
2022-01-28,38.0,38.0,37.65,37.67,2000.0
2022-01-31,38.19,40.45,38.19,40.27,18500.0
2022-02-01,42.0,42.0,41.8,42.0,5500.0
2022-02-02,41.1,44.99,41.1,43.0,34500.0
2022-02-03,43.0,43.0,42.0,42.95,11000.0
2022-02-04,42.7,42.7,42.2,42.7,500.0
2022-02-07,42.5,42.51,40.01,40.51,13500.0
2022-02-08,41.19,41.19,40.0,41.19,7000.0
2022-02-09,40.25,41.5,40.25,41.5,8500.0
2022-02-10,41.5,41.9,41.0,41.9,8500.0
2022-02-11,42.5,42.5,38.81,39.3,69000.0
2022-02-14,39.99,39.99,39.0,39.0,3500.0
2022-02-15,39.94,39.94,38.5,39.49,4000.0
2022-02-16,39.74,39.75,39.0,39.4,4500.0
2022-02-17,38.6,38.6,38.5,38.5,4000.0
2022-02-18,38.0,38.5,38.0,38.5,12500.0
2022-02-21,38.25,38.99,38.0,38.0,3500.0
2022-02-22,39.49,39.49,39.49,39.49,2000.0
2022-02-23,39.0,39.0,39.0,39.0,2000.0
2022-02-25,37.35,38.5,37.35,38.0,1500.0
2022-03-01,38.0,38.0,38.0,38.0,1000.0
2022-03-02,38.1,38.1,38.0,38.0,5500.0
2022-03-03,38.0,38.0,38.0,38.0,13500.0
2022-03-07,37.0,38.0,37.0,38.0,7000.0
2022-03-08,38.05,38.05,38.0,38.0,1000.0
2022-03-09,38.0,38.0,38.0,38.0,500.0
2022-03-10,37.0,37.0,37.0,37.0,1000.0
2022-03-11,39.0,39.0,37.0,38.5,2500.0
2022-03-14,37.1,38.0,37.0,37.2,9000.0
2022-03-15,37.0,38.5,37.0,38.34,26000.0
2022-03-16,39.85,39.99,39.5,39.95,11000.0
2022-03-17,39.4,39.4,39.0,39.0,6000.0
2022-03-18,39.5,39.9,38.0,39.0,6000.0
2022-03-21,39.0,39.0,39.0,39.0,2000.0
2022-03-22,39.5,39.5,39.0,39.0,5500.0
2022-03-24,39.0,39.0,39.0,39.0,3000.0
2022-03-28,40.7,40.7,40.7,40.7,500.0
2022-03-29,41.5,41.5,38.9,39.01,10000.0
2022-03-30,39.0,39.25,39.0,39.25,2000.0
2022-04-01,39.2,39.2,39.0,39.1,2000.0
2022-04-04,38.0,38.25,38.0,38.0,25500.0
2022-04-07,39.0,39.0,39.0,39.0,500.0
2022-04-08,38.5,38.98,38.0,38.87,7000.0
2022-04-11,39.75,40.0,39.69,39.94,10500.0
2022-04-12,39.9,39.9,39.0,39.0,4500.0
2022-04-13,39.5,39.9,39.5,39.9,8500.0
2022-04-14,40.0,41.5,38.5,40.0,4000.0
2022-04-15,40.0,40.0,39.95,39.95,1000.0
2022-04-20,39.0,39.0,39.0,39.0,15500.0
2022-04-21,38.9,38.9,38.9,38.9,2000.0
2022-04-22,39.8,39.9,39.8,39.9,12000.0
2022-04-26,38.01,38.01,38.01,38.01,1000.0
2022-04-28,0.0,38.01,38.01,38.01,27000.0
2022-05-09,39.9,39.9,39.9,39.9,500.0
2022-05-10,37.5,40.0,37.5,39.75,7500.0
2022-05-11,38.51,38.51,38.0,38.0,7500.0
2022-05-13,39.3,40.85,39.3,40.39,42000.0
2022-05-16,39.0,39.0,39.0,39.0,1000.0
2022-05-17,40.0,40.0,40.0,40.0,5000.0
2022-05-18,40.0,43.0,40.0,42.82,58500.0
2022-05-19,42.0,44.5,42.0,44.49,32500.0
2022-05-20,44.0,44.0,41.3,44.0,70000.0
2022-05-23,43.98,44.95,43.75,44.08,7000.0
2022-05-24,42.6,42.6,42.6,42.6,15000.0
2022-05-25,43.1,43.75,42.6,43.75,66500.0
2022-05-26,44.0,46.8,43.5,44.94,86500.0
2022-05-27,44.51,45.49,44.03,44.04,46500.0
2022-05-30,45.0,45.0,44.0,44.0,6000.0
2022-05-31,44.2,44.5,43.5,43.64,11000.0
2022-06-01,43.99,43.99,43.0,43.09,7000.0
2022-06-02,42.95,43.25,42.95,43.25,5000.0
2022-06-03,40.0,40.0,37.6,37.6,9000.0
2022-06-06,37.1,39.0,37.1,39.0,5500.0
2022-06-07,39.0,39.0,39.0,39.0,1000.0
2022-06-08,37.5,38.0,37.0,37.12,22000.0
2022-06-09,38.0,38.0,37.02,37.31,3500.0
2022-06-10,37.01,37.01,37.0,37.01,3500.0
2022-06-13,37.0,37.0,37.0,37.0,2000.0
2022-06-14,36.4,37.0,36.7,36.7,36000.0
2022-06-15,36.51,36.8,36.5,36.5,8500.0
2022-06-16,36.5,36.5,36.5,36.5,3000.0
2022-06-17,36.1,36.9,36.1,36.9,1000.0
2022-06-20,36.26,36.26,36.25,36.25,5500.0
2022-06-23,36.9,37.0,36.9,37.0,6500.0
2022-06-28,36.5,36.5,36.0,36.0,45000.0
2022-06-30,36.0,38.7,36.0,38.47,99500.0
2022-07-01,37.25,38.0,37.0,38.0,7000.0
2022-07-04,37.02,37.02,36.9,36.9,5000.0
2022-07-05,36.55,36.9,36.0,36.1,20500.0
2022-07-13,36.1,36.11,36.0,36.0,12000.0
2022-07-14,36.6,36.6,36.6,36.6,500.0
2022-07-15,36.5,36.5,36.01,36.01,5500.0
2022-07-18,36.1,36.1,35.0,35.0,8000.0
2022-07-19,35.3,35.3,35.3,35.3,1000.0
2022-07-21,35.15,35.16,35.0,35.0,22000.0
2022-07-25,36.5,36.5,36.5,36.5,500.0
2022-07-26,36.5,37.0,36.5,37.0,18000.0
2022-07-27,37.0,37.0,36.5,36.5,3000.0
2022-07-28,35.35,35.35,35.35,35.35,500.0
2022-07-29,35.35,35.35,35.0,35.0,6500.0
2022-08-01,35.0,35.0,35.0,35.0,500.0
2022-08-02,33.1,35.9,33.1,35.0,13500.0
2022-08-03,35.0,35.0,34.8,35.0,6500.0
2022-08-10,34.75,36.0,34.75,35.98,7500.0
2022-08-11,35.55,35.55,35.0,35.35,6500.0
2022-08-12,35.5,35.5,35.5,35.5,1000.0
2022-08-15,36.0,36.0,35.99,36.0,6500.0
2022-08-16,35.25,37.0,35.25,36.25,39500.0
2022-08-17,36.5,37.0,36.5,37.0,29000.0
2022-08-18,36.5,37.0,36.0,36.96,17500.0
2022-08-19,37.5,38.0,37.5,38.0,40000.0
2022-08-22,38.0,38.0,36.51,38.0,24000.0
2022-08-23,38.0,38.0,38.0,38.0,2000.0
2022-08-24,36.05,36.86,36.05,36.86,6500.0
2022-08-25,36.5,36.86,36.5,36.51,6000.0
2022-08-26,37.0,37.2,36.03,36.05,20000.0
2022-08-29,35.61,35.61,35.2,35.27,14500.0
2022-08-30,36.0,36.0,36.0,36.0,1000.0
2022-08-31,36.0,36.0,36.0,36.0,1000.0
2022-09-01,36.0,36.0,36.0,36.0,1500.0
2022-09-02,35.01,36.2,35.01,36.2,1500.0
2022-09-06,0.0,36.2,36.2,36.2,6500.0
2022-09-07,35.9,36.8,35.1,35.4,9000.0
2022-09-09,34.1,35.5,34.1,35.5,2000.0
2022-09-12,34.01,36.9,34.01,36.0,3000.0
2022-09-13,35.25,35.95,34.75,35.95,19000.0
2022-09-14,35.01,35.01,35.0,35.0,10000.0
2022-09-15,35.5,35.5,35.0,35.0,6500.0
2022-09-16,34.31,35.4,34.31,35.4,9000.0
2022-09-19,35.45,35.6,35.0,35.15,20000.0
2022-09-20,34.61,36.4,34.61,36.0,11000.0
2022-09-26,36.25,36.25,35.99,36.0,3500.0
2022-09-27,36.0,36.0,36.0,36.0,19500.0
2022-09-28,35.25,35.95,35.2,35.95,1500.0
2022-10-03,35.2,35.2,34.26,35.0,124500.0
2022-10-04,35.0,35.0,35.0,35.0,55000.0
2022-10-05,35.6,35.8,35.5,35.55,8500.0
2022-10-06,36.0,36.5,36.0,36.22,9500.0
2022-10-07,35.7,36.45,35.5,35.55,15000.0
2022-10-12,35.21,35.21,34.5,34.5,4500.0
2022-10-13,35.6,35.6,35.3,35.6,3500.0
2022-10-14,34.8,35.5,34.8,35.5,1000.0
2022-10-20,34.56,34.9,34.01,34.11,33000.0
2022-10-21,34.6,35.0,34.35,34.36,18000.0
2022-10-24,34.16,34.16,34.0,34.0,5000.0
2022-10-25,34.6,35.1,34.5,34.5,3000.0
2022-10-26,34.03,34.03,34.0,34.0,10500.0
2022-10-27,34.0,34.0,34.0,34.0,2500.0
2022-11-01,33.61,34.1,33.6,34.1,21000.0
2022-11-02,34.2,34.2,34.2,34.2,2500.0
2022-11-03,34.2,34.2,34.2,34.2,5000.0
2022-11-04,34.0,34.0,34.0,34.0,1000.0
2022-11-08,34.0,34.0,33.5,33.73,7000.0
2022-11-10,34.0,35.0,34.0,34.6,16500.0
2022-11-11,35.0,36.49,35.0,36.0,2500.0
2022-11-14,34.38,35.45,34.37,34.74,3000.0
2022-11-15,35.0,35.0,35.0,35.0,500.0
2022-11-16,36.49,37.6,34.06,36.9,34500.0
